tick,lyapunov_V,fairness_index,share_Kernel_IRQ,share_Edge_AI,share_Network_Stack,share_File_IO,share_Bg_Logger
26,0.0011745083493284007,0.9977017746226114,0.20835325391661563,0.20647762817720933,0.20399240369428612,0.19941643809312942,0.18176027611875947
27,0.0009211719583322921,0.9981926221236157,0.2073656765175519,0.20573033473083085,0.20355741021305873,0.1995382992462355,0.18380827929232316
28,0.0007214429917181339,0.998581151280519,0.20649356943670194,0.20506621865319574,0.2031650132823486,0.19963448183528276,0.18564071679247088
29,0.0005642949305471028,0.9988879143545636,0.20572366863657068,0.20447668066410363,0.20281216164290888,0.1997103644014641,0.1872771246549526
30,0.0004408726859458142,0.9991295747928995,0.20504419651721761,0.2039538668847204,0.20249573761996711,0.19977022203424075,0.18873597694385408
31,0.000344094344951933,0.9993195688513956,0.204444698743229,0.20349063654860194,0.2022126530076975,0.19981744393380577,0.1900345677666659
32,0.0002683170082014366,0.9994686780649981,0.20391589974946578,0.20308052285245173,0.20195991646298275,0.19985471106005753,0.1911889498750422
33,0.00020905918510766373,0.9995855167778045,0.20344957415761553,0.20271768958918407,0.2017346788409267,0.1998841402020102,0.19221391721026346
34,0.00016277217544291393,0.9996769418522609,0.2030384319904683,0.20239688563745753,0.20153426167935182,0.1999074001351249,0.19312302055759742
35,0.00012665322223658244,0.9997483931394207,0.20267601602013505,0.20211339890003707,0.20135617300426442,0.19992580480787903,0.19392860726768446
36,9.84938175460845e-05,0.9998041737314723,0.20235660989672366,0.20186301088117886,0.20119811376465024,0.1999403877810622,0.19464187767638505
37,7.655726256508566e-05,0.9998476787825343,0.2020751559216575,0.20164195276308322,0.20105797749304252,0.19995196147372135,0.19527295234849532
38,5.948034235471553e-05,0.999881581042739,0.20182718148655976,0.20144686357508282,0.20093384520789945,0.1999611641688669,0.1958309455615911
39,4.619471686068306e-05,0.9999079803987442,0.20160873331571494,0.20127475083814234,0.20082397710550629,0.19996849720771578,0.19632404153292066
40,3.586431935005555e-05,0.9999285237847765,0.20141631874155935,0.20112295390312973,0.20072680221491776,0.19997435435309419,0.19675957078729892
41,2.783567263958805e-05,0.9999445009083084,0.20124685331747566,0.20098911007637071,0.20064090689325187,0.1999790449257339,0.1971440847871679
42,2.1598575391738005e-05,0.9999569203746996,0.20109761413606472,0.20087112353314723,0.2005650228063353,0.19998281200429857,0.19748342752015421
43,1.675507554232741e-05,0.9999665700224202,0.2009661982775302,0.20076713695281798,0.2004980148591826,0.19998584672288938,0.19778280318757985
44,1.2995040250126603e-05,0.9999740646051287,0.2008504858639247,0.2006755057627698,0.20043886940185612,0.19998829949035582,0.19804683948109353
45,1.0076958680923197e-05,0.9999798833789914,0.20074860724197155,0.20059477484795282,0.2003866829304242,0.19999028878634048,0.19827964619331093
46,7.812883470333836e-06,0.9999843996671758,0.20065891386066786,0.20052365756458004,0.20034065142302948,0.19999190805278216,0.19848486909894034
47,6.056636971871025e-06,0.9999879040692686,0.20057995245025687,0.20046101688765453,0.20030006039183665,0.1999932310906302,0.19866573917962177
48,4.694587066401534e-06,0.9999906226511014,0.20051044214663566,0.2004058485198902,0.20026427568827837,0.19999431628470712,0.19882511736048855
49,3.6384413407517403e-06,0.9999927311796644,0.20044925423996132,0.20035726579239554,0.20023273506791947,0.19999520991074654,0.19896553498897715
50,2.8196239133360763e-06,0.9999943662486968,0.20039539425822733,0.20031448619368616,0.20020494049951265,0.19999594872409332,0.19908923032448048
